state, (A* opt, A* generated, A* explored), (IDA* opt, IDA* generated, IDA* iterations)

('[[1, 2, 11, 3], [9, 13, 5, 6], [0, 4, 7, 15], [8, 12, 14, 10]]', (24, 679, 219), (24, 10463, 3))
('[[2, 6, 5, 3], [1, 9, 0, 11], [4, 13, 7, 15], [8, 12, 10, 14]]', (19, 68, 23), (19, 38, 1))
('[[4, 3, 6, 7], [8, 1, 2, 11], [9, 5, 0, 15], [12, 13, 10, 14]]', (18, 201, 65), (18, 1217, 3))
('[[1, 2, 6, 3], [0, 4, 7, 11], [12, 5, 8, 14], [9, 10, 13, 15]]', (23, 2289, 746), (23, 54601, 4))
('[[0, 2, 6, 3], [4, 9, 10, 7], [12, 1, 15, 8], [13, 5, 14, 11]]', (24, 384, 121), (24, 2381, 5))
('[[1, 5, 2, 3], [8, 4, 11, 6], [12, 13, 15, 9], [10, 14, 0, 7]]', (25, 1394, 454), (25, 156912, 4))
('[[4, 1, 3, 7], [5, 9, 6, 10], [8, 13, 11, 15], [0, 12, 2, 14]]', (19, 329, 106), (19, 1557, 3))
('[[4, 7, 2, 3], [8, 1, 6, 11], [9, 10, 13, 15], [12, 5, 0, 14]]', (21, 557, 180), (21, 36829, 4))
('[[9, 4, 0, 2], [5, 8, 6, 3], [12, 1, 15, 7], [13, 10, 11, 14]]', (28, 2336, 766), (28, 26522, 4))
('[[1, 9, 6, 3], [4, 13, 5, 11], [8, 14, 2, 10], [0, 12, 7, 15]]', (21, 436, 139), (21, 8004, 3))
('[[1, 8, 7, 2], [5, 6, 0, 3], [4, 9, 10, 11], [12, 13, 14, 15]]', (17, 385, 124), (17, 57385, 4))
('[[4, 2, 6, 3], [5, 7, 10, 11], [12, 1, 0, 15], [9, 8, 13, 14]]', (18, 70, 23), (18, 75, 1))
('[[4, 10, 2, 3], [5, 1, 6, 7], [12, 11, 0, 15], [9, 14, 8, 13]]', (26, 1915, 626), (26, 406448, 5))
('[[1, 3, 7, 2], [4, 5, 8, 6], [9, 13, 10, 11], [0, 12, 14, 15]]', (21, 784, 255), (21, 97644, 5))
('[[4, 2, 6, 3], [8, 5, 14, 7], [10, 1, 12, 15], [0, 9, 11, 13]]', (27, 978, 323), (27, 54525, 5))
('[[4, 6, 1, 3], [5, 9, 2, 10], [8, 11, 14, 7], [0, 12, 13, 15]]', (15, 60, 19), (15, 37, 1))
('[[4, 1, 2, 3], [13, 8, 14, 6], [9, 0, 10, 7], [12, 5, 15, 11]]', (21, 630, 208), (21, 11611, 4))
('[[4, 3, 10, 7], [2, 1, 11, 9], [5, 14, 13, 6], [8, 12, 0, 15]]', (27, 415, 134), (27, 6459, 2))
('[[4, 2, 0, 3], [8, 1, 7, 11], [9, 5, 13, 10], [12, 14, 15, 6]]', (18, 97, 31), (18, 383, 2))
('[[1, 2, 6, 3], [7, 9, 15, 14], [4, 5, 0, 11], [8, 12, 10, 13]]', (26, 1616, 529), (26, 30048, 4))
