state, (A* opt, A* generated, A* explored), (IDA* opt, IDA* generated, IDA* iterations)

('[[1, 8, 2, 3], [9, 5, 11, 6], [4, 12, 14, 7], [10, 0, 13, 15]]', (24, 1208, 389), (24, 93175, 4))
('[[1, 0, 5, 3], [4, 6, 2, 7], [8, 13, 9, 11], [12, 14, 15, 10]]', (15, 139, 46), (15, 847, 3))
('[[1, 7, 3, 6], [4, 9, 5, 2], [8, 10, 14, 11], [12, 0, 13, 15]]', (20, 621, 205), (20, 132418, 4))
('[[1, 2, 9, 3], [6, 10, 5, 7], [8, 4, 13, 11], [12, 14, 0, 15]]', (23, 3049, 971), (23, 428246, 5))
('[[8, 4, 7, 2], [1, 10, 5, 3], [13, 6, 14, 0], [9, 12, 15, 11]]', (23, 82, 27), (23, 154, 1))
('[[1, 2, 6, 7], [4, 11, 3, 0], [8, 5, 9, 15], [12, 13, 10, 14]]', (20, 1869, 613), (20, 149882, 4))
('[[4, 1, 3, 6], [5, 9, 14, 2], [13, 10, 7, 0], [8, 12, 15, 11]]', (19, 70, 23), (19, 103, 1))
('[[1, 2, 6, 11], [9, 3, 7, 0], [4, 8, 5, 15], [12, 10, 13, 14]]', (24, 1852, 598), (24, 5917, 3))
('[[1, 2, 3, 7], [12, 4, 5, 6], [14, 9, 10, 15], [0, 13, 11, 8]]', (27, 1779, 591), (27, 107595, 5))
('[[4, 7, 10, 6], [2, 1, 3, 15], [8, 5, 9, 14], [12, 13, 11, 0]]', (24, 300, 100), (24, 2358, 2))
('[[1, 5, 2, 3], [0, 4, 11, 10], [12, 6, 9, 7], [13, 8, 14, 15]]', (15, 66, 21), (15, 35, 1))
('[[1, 8, 2, 3], [4, 5, 11, 7], [12, 9, 6, 10], [0, 13, 14, 15]]', (21, 1899, 614), (21, 881405, 7))
('[[2, 1, 8, 3], [5, 6, 0, 7], [4, 9, 10, 11], [12, 13, 14, 15]]', (21, 3386, 1090), (21, 6081428, 7))
('[[9, 2, 15, 3], [5, 4, 1, 7], [8, 6, 0, 14], [12, 10, 13, 11]]', (28, 3364, 1087), (28, 314051, 5))
('[[1, 5, 2, 3], [8, 10, 4, 6], [0, 13, 15, 7], [9, 12, 11, 14]]', (18, 86, 28), (18, 40, 1))
('[[13, 0, 2, 3], [5, 6, 10, 7], [1, 12, 4, 11], [9, 8, 14, 15]]', (23, 342, 110), (23, 2773, 3))
('[[1, 12, 3, 6], [4, 0, 8, 7], [13, 2, 5, 11], [14, 9, 10, 15]]', (28, 2492, 812), (28, 532182, 4))
('[[1, 2, 10, 6], [4, 9, 14, 3], [5, 13, 15, 7], [8, 12, 0, 11]]', (21, 70, 24), (21, 541, 2))
('[[1, 9, 2, 3], [4, 14, 5, 6], [8, 0, 10, 7], [12, 13, 15, 11]]', (19, 1795, 584), (19, 401875, 5))
('[[4, 1, 3, 10], [6, 7, 2, 14], [5, 12, 9, 11], [0, 8, 13, 15]]', (25, 345, 113), (25, 1684, 3))
