state, optimal, (IDA* opt, IDA* generated, IDA* iterations), (RBFS solved, RBFS opt, RBFS generated),

('[[4, 6, 1, 3], [5, 10, 7, 14], [9, 0, 15, 11], [8, 2, 12, 13]]', 25, (25, 2, 119), (True, 25, 235))
('[[4, 1, 2, 3], [5, 6, 0, 11], [8, 9, 15, 10], [12, 13, 7, 14]]', 15, (15, 3, 754), (True, 15, 929))
('[[1, 5, 2, 3], [4, 9, 11, 6], [12, 14, 15, 8], [13, 0, 10, 7]]', 20, (20, 2, 89), (True, 20, 155))
('[[2, 6, 8, 3], [5, 4, 14, 10], [0, 1, 12, 7], [13, 9, 15, 11]]', 30, (30, 4, 18523), (True, 30, 18224))
('[[4, 1, 11, 2], [8, 5, 7, 3], [12, 9, 15, 14], [13, 6, 0, 10]]', 25, (25, 4, 45086), (True, 25, 71752))
('[[1, 2, 13, 3], [8, 4, 5, 6], [0, 12, 10, 7], [9, 14, 15, 11]]', 24, (24, 4, 145161), (True, 24, 86771))
('[[1, 0, 5, 3], [4, 6, 2, 11], [8, 10, 7, 15], [12, 9, 13, 14]]', 13, (13, 1, 27), (True, 13, 43))
('[[4, 1, 2, 0], [5, 7, 12, 3], [8, 6, 11, 15], [13, 9, 14, 10]]', 25, (25, 5, 88172), (True, 25, 113253))
('[[9, 2, 5, 3], [1, 4, 11, 6], [10, 0, 14, 7], [12, 8, 13, 15]]', 23, (23, 3, 10720), (True, 23, 12765))
('[[4, 1, 0, 3], [5, 2, 11, 7], [9, 6, 14, 10], [8, 12, 13, 15]]', 18, (18, 3, 793), (True, 18, 1767))
('[[1, 6, 3, 2], [9, 8, 5, 7], [10, 11, 13, 15], [4, 12, 0, 14]]', 27, (27, 4, 480295), (True, 27, 144776))
('[[4, 1, 2, 3], [5, 6, 13, 7], [8, 0, 9, 11], [12, 10, 15, 14]]', 19, (19, 5, 175521), (True, 19, 222232))
('[[1, 3, 7, 11], [4, 0, 2, 5], [8, 9, 15, 10], [12, 13, 6, 14]]', 20, (20, 3, 300), (True, 20, 401))
('[[4, 9, 2, 3], [5, 0, 1, 11], [13, 7, 12, 6], [8, 14, 10, 15]]', 24, (24, 3, 6323), (True, 24, 7650))
('[[8, 1, 6, 3], [0, 2, 7, 9], [12, 4, 5, 15], [13, 14, 11, 10]]', 27, (27, 4, 69621), (True, 27, 24225))
('[[5, 1, 10, 7], [9, 0, 2, 6], [12, 3, 8, 11], [13, 4, 14, 15]]', 28, (28, 5, 579203), (True, 28, 710915))
('[[4, 6, 11, 2], [8, 5, 1, 12], [10, 13, 7, 3], [0, 9, 14, 15]]', 31, (31, 5, 62797), (True, 31, 119114))
('[[5, 4, 3, 7], [8, 1, 2, 11], [14, 0, 9, 10], [12, 13, 15, 6]]', 25, (25, 4, 83236), (True, 25, 47151))
('[[1, 9, 2, 3], [8, 13, 6, 11], [4, 7, 0, 15], [5, 12, 10, 14]]', 24, (24, 4, 50567), (True, 24, 25917))
('[[2, 5, 4, 6], [1, 3, 0, 11], [8, 7, 9, 15], [12, 13, 10, 14]]', 23, (23, 2, 1230), (True, 23, 918))
