state, optimal, (IDA* opt, IDA* generated, IDA* iterations), (RBFS solved, RBFS opt, RBFS generated),

('[[2, 13, 3, 7], [0, 5, 4, 1], [8, 9, 6, 11], [12, 14, 10, 15]]', 25, (25, 6, 1158788), (True, 25, 1109198))
('[[1, 5, 2, 3], [9, 12, 6, 7], [4, 10, 0, 11], [13, 8, 14, 15]]', 12, (12, 1, 41), (True, 12, 51))
('[[5, 4, 2, 3], [9, 8, 6, 7], [12, 0, 13, 11], [14, 1, 10, 15]]', 17, (17, 1, 40), (True, 17, 55))
('[[4, 6, 1, 3], [0, 8, 12, 7], [13, 5, 2, 15], [9, 10, 11, 14]]', 27, (27, 3, 9327), (True, 27, 8963))
('[[12, 4, 1, 3], [13, 6, 2, 7], [0, 5, 9, 10], [8, 14, 15, 11]]', 24, (24, 4, 187680), (True, 24, 95187))
('[[4, 2, 6, 3], [5, 1, 0, 7], [8, 13, 10, 11], [12, 14, 9, 15]]', 11, (11, 2, 45), (True, 11, 184))
('[[2, 3, 5, 7], [8, 4, 10, 6], [9, 1, 14, 11], [12, 13, 0, 15]]', 19, (19, 3, 2666), (True, 19, 3066))
('[[8, 0, 2, 3], [9, 4, 1, 6], [12, 14, 5, 7], [13, 10, 15, 11]]', 21, (21, 2, 50), (True, 21, 68))
('[[5, 2, 11, 6], [1, 7, 3, 15], [8, 4, 13, 14], [12, 10, 9, 0]]', 26, (26, 1, 205), (True, 26, 232))
('[[4, 2, 7, 10], [12, 1, 3, 0], [13, 5, 11, 6], [14, 8, 9, 15]]', 28, (28, 3, 78259), (True, 28, 11819))
('[[4, 1, 6, 2], [11, 8, 0, 3], [5, 10, 13, 7], [12, 9, 14, 15]]', 25, (25, 5, 432869), (True, 25, 588824))
('[[8, 1, 3, 7], [13, 5, 9, 0], [6, 4, 2, 11], [12, 14, 10, 15]]', 26, (26, 5, 100894), (True, 26, 177680))
('[[6, 0, 1, 7], [2, 4, 3, 11], [9, 5, 8, 10], [12, 13, 14, 15]]', 23, (23, 4, 89414), (True, 23, 341464))
('[[5, 10, 9, 3], [0, 6, 2, 7], [13, 14, 8, 11], [1, 4, 12, 15]]', 29, (29, 3, 1367), (True, 29, 757))
('[[4, 1, 3, 7], [5, 6, 2, 11], [12, 8, 0, 14], [10, 13, 9, 15]]', 20, (20, 3, 2106), (True, 20, 2713))
('[[6, 7, 0, 3], [2, 9, 4, 11], [12, 5, 8, 10], [13, 1, 14, 15]]', 30, (30, 5, 82292), (True, 30, 117600))
('[[1, 5, 2, 3], [4, 9, 6, 7], [13, 12, 15, 10], [8, 0, 14, 11]]', 14, (14, 2, 76), (True, 14, 185))
('[[4, 2, 6, 9], [5, 1, 14, 3], [8, 10, 0, 7], [12, 13, 15, 11]]', 18, (18, 2, 405), (True, 18, 495))
('[[9, 4, 2, 3], [1, 0, 8, 6], [13, 12, 10, 7], [5, 14, 15, 11]]', 22, (22, 1, 120), (True, 22, 140))
('[[1, 5, 3, 6], [4, 2, 0, 7], [12, 9, 15, 14], [13, 8, 11, 10]]', 27, (27, 5, 193378), (True, 27, 265201))
