state, optimal, (heuristic1)(IDA* opt, IDA* generated, IDA* iterations), (heuristic1)(RBFS solved, RBFS opt, RBFS generated), (heuristic2)(IDA* opt, IDA* generated, IDA* iterations), (heuristic2)(RBFS solved, RBFS opt, RBFS generated)

('[[4, 2, 6, 3], [5, 1, 7, 11], [8, 9, 0, 10], [12, 13, 14, 15]]', 8, (8, 1, 21), (True, 8, 27), (8, 4, 13824), (True, 8, 26078))
('[[4, 1, 3, 0], [5, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]', 5, (5, 1, 14), (True, 5, 16), (5, 1, 120), (True, 5, 122))
('[[4, 1, 2, 3], [8, 0, 5, 7], [9, 10, 6, 11], [12, 13, 14, 15]]', 6, (6, 1, 17), (True, 6, 22), (6, 2, 825), (True, 6, 1174))
('[[1, 5, 0, 3], [4, 6, 2, 10], [8, 9, 11, 7], [12, 13, 14, 15]]', 8, (8, 1, 20), (True, 8, 28), (8, 4, 5389), (True, 8, 11641))
('[[1, 5, 2, 6], [4, 7, 3, 0], [8, 9, 10, 11], [12, 13, 14, 15]]', 10, (10, 2, 198), (True, 10, 55), (10, 5, 204802), (True, 10, 50077))
('[[8, 4, 2, 3], [0, 1, 6, 7], [13, 5, 10, 11], [9, 12, 14, 15]]', 11, (11, 1, 25), (True, 11, 34), (11, 6, 291900), (True, 11, 56690))
('[[1, 5, 2, 3], [0, 9, 6, 7], [4, 8, 10, 11], [12, 13, 14, 15]]', 5, (5, 1, 12), (True, 5, 17), (5, 1, 12), (True, 5, 17))
('[[4, 2, 3, 7], [8, 1, 5, 0], [9, 13, 6, 11], [12, 14, 10, 15]]', 12, (12, 1, 27), (True, 12, 39), (12, 6, 342954), (True, 12, 86391))
('[[1, 5, 0, 3], [4, 9, 2, 7], [8, 10, 6, 11], [12, 13, 14, 15]]', 6, (6, 1, 15), (True, 6, 22), (6, 2, 79), (True, 6, 588))
('[[1, 5, 2, 3], [4, 6, 10, 7], [12, 8, 9, 11], [0, 13, 14, 15]]', 7, (7, 1, 19), (True, 7, 24), (7, 3, 3008), (True, 7, 1265))
('[[1, 5, 2, 0], [4, 6, 7, 3], [8, 9, 10, 11], [12, 13, 14, 15]]', 5, (5, 1, 14), (True, 5, 16), (5, 1, 14), (True, 5, 16))
('[[1, 2, 3, 7], [4, 5, 6, 11], [8, 14, 13, 10], [12, 9, 15, 0]]', 12, (12, 1, 42), (True, 12, 53), (12, 6, 529440), (True, 12, 499596))
('[[1, 0, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]', 1, (1, 1, 3), (True, 1, 3), (1, 1, 3), (True, 1, 3))
('[[1, 0, 2, 3], [8, 5, 6, 7], [9, 4, 10, 11], [12, 13, 14, 15]]', 7, (7, 2, 22), (True, 7, 36), (7, 2, 523), (True, 7, 876))
('[[4, 1, 2, 3], [5, 9, 6, 7], [12, 8, 10, 11], [13, 0, 14, 15]]', 6, (6, 1, 17), (True, 6, 19), (6, 2, 1641), (True, 6, 1626))
('[[4, 1, 3, 0], [5, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]', 5, (5, 1, 14), (True, 5, 16), (5, 1, 120), (True, 5, 122))
('[[4, 1, 6, 3], [0, 2, 5, 7], [8, 9, 10, 11], [12, 13, 14, 15]]', 7, (7, 2, 51), (True, 7, 27), (7, 2, 3653), (True, 7, 421))
('[[1, 5, 2, 3], [8, 4, 6, 7], [9, 13, 10, 11], [12, 0, 14, 15]]', 6, (6, 1, 17), (True, 6, 20), (6, 2, 1023), (True, 6, 1279))
('[[0, 2, 6, 3], [1, 9, 5, 7], [4, 8, 10, 11], [12, 13, 14, 15]]', 8, (8, 1, 18), (True, 8, 26), (8, 4, 1917), (True, 8, 8492))
('[[4, 1, 2, 3], [5, 9, 6, 7], [8, 13, 10, 11], [0, 12, 14, 15]]', 5, (5, 1, 13), (True, 5, 16), (5, 1, 13), (True, 5, 16))
